제품보고서번호,공장명,결함유형,신고일자,신고시각,처리일자,처리시각,작업자직업명,사고발생장소
202200000001M25795,공장B,기계 결함,20220722,205914,20221027,184738,기술자,라인5
202200000002M10860,공장B,품질 문제,20220622,031050,20221109,132745,검사원,라인3
202200000003M86820,공장B,전기 결함,20220424,140320,20221130,035714,기술자,라인2
202200000004M64886,공장B,기계 결함,20220213,122118,20220606,023600,기술자,라인5
202200000005M16265,공장C,전기 결함,20220924,011303,20220427,024623,기타,라인3
202200000006M92386,공장A,전기 결함,20220312,155251,20220731,073533,검사원,라인5
202200000007M47194,공장D,기계 결함,20220211,132628,20220516,232341,기술자,라인4
202200000008M97498,공장B,품질 문제,20220603,142734,20220807,030233,관리자,라인4
202200000009M54131,공장E,품질 문제,20221017,071541,20220914,162252,검사원,라인4
202200000010M70263,공장B,안전 문제,20220929,032917,20220908,235122,검사원,라인4
202200000011M26023,공장E,기계 결함,20220120,014812,20220517,120430,검사원,라인1
202200000012M51090,공장C,안전 문제,20220615,032524,20220302,204056,기타,라인3
202200000013M77221,공장E,안전 문제,20220710,100630,20220606,210536,관리자,라인3
202200000014M74820,공장D,안전 문제,20220823,110938,20220221,093906,검사원,라인4
202200000015M10769,공장A,품질 문제,20220825,123006,20221120,063720,기술자,라인1
202200000016M69735,공장E,기계 결함,20220513,234841,20220506,190250,기술자,라인4
202200000017M72955,공장E,안전 문제,20220724,095535,20220226,214603,기타,라인1
202200000018M74925,공장A,기계 결함,20220625,190353,20220110,113750,기술자,라인4
202200000019M77969,공장D,기계 결함,20221119,065300,20220824,034640,검사원,라인2
202200000020M15311,공장B,품질 문제,20220713,115544,20220820,041222,기술자,라인2
202200000021M93104,공장E,안전 문제,20220610,094658,20220504,172936,검사원,라인5
202200000022M63707,공장A,안전 문제,20220528,125421,20220127,152650,기술자,라인4
202200000023M95305,공장C,기계 결함,20220728,212021,20220530,135647,관리자,라인3
202200000024M38693,공장A,전기 결함,20221020,082508,20220424,145335,기타,라인5
202200000025M81932,공장C,품질 문제,20220715,140923,20220904,061555,기타,라인2
202200000026M35658,공장D,품질 문제,20220829,090723,20220809,212053,관리자,라인4
202200000027M94478,공장B,품질 문제,20220926,154825,20220513,200748,관리자,라인5
202200000028M28431,공장A,품질 문제,20220709,040349,20220321,155854,기타,라인4
202200000029M12747,공장E,안전 문제,20220605,231835,20221226,090931,관리자,라인2
202200000030M69150,공장D,안전 문제,20221116,060924,20220615,010816,검사원,라인5
202200000031M75725,공장A,전기 결함,20220601,171835,20220908,103109,기술자,라인2
202200000032M94654,공장E,품질 문제,20220618,093254,20220221,215616,기타,라인1
