level_0,ID,Marital Status,Application mode,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Educational special needs,Gender,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Target
0,3949,1_,43_,9147_,1_,1_,1_,1_,19_,9_,10_,0_,0_,0,5,9,5,Graduate
1,560,1_,53_,9003_,1_,42_,1_,3_,38_,141_,151_,0_,1_,7,12,18,11,Graduate
2,3186,1_,39_,9130_,1_,10_,1_,12_,36_,90_,90_,0_,1_,0,5,13,0,Dropout
3,4311,1_,1_,9119_,1_,1_,1_,2_,1_,3_,5_,0_,1_,0,5,10,0,Enrolled
4,2361,1_,42_,9773_,1_,1_,1_,19_,6_,4_,3_,0_,1_,0,4,8,0,Dropout
5,881,1_,1_,171_,1_,1_,1_,3_,2_,2_,5_,0_,1_,0,0,0,0,Graduate
6,3107,1_,1_,9500_,1_,1_,1_,1_,19_,9_,10_,0_,0_,0,7,7,7,Graduate
7,4070,1_,18_,9500_,1_,1_,1_,3_,3_,3_,3_,0_,0_,0,7,7,7,Graduate
8,2889,1_,17_,9670_,1_,1_,1_,38_,19_,9_,6_,0_,0_,0,6,6,6,Graduate
9,457,1_,43_,9853_,1_,1_,1_,37_,19_,9_,8_,0_,0_,0,6,9,5,Dropout
10,62,1_,17_,171_,1_,1_,1_,1_,37_,4_,7_,0_,1_,0,0,0,0,Enrolled
11,2697,1_,17_,9670_,1_,1_,1_,19_,19_,191_,171_,0_,1_,0,6,11,4,Enrolled
12,453,1_,17_,9085_,1_,1_,1_,19_,37_,4_,7_,0_,0_,0,5,11,5,Graduate
13,4402,1_,18_,9853_,1_,1_,1_,1_,19_,3_,9_,0_,1_,0,6,7,5,Enrolled
14,3585,1_,39_,33_,1_,1_,1_,19_,37_,9_,9_,0_,1_,0,7,13,2,Dropout
15,772,1_,1_,9500_,1_,1_,1_,1_,19_,4_,9_,0_,0_,0,7,9,6,Enrolled
16,2646,1_,43_,9070_,1_,1_,1_,3_,39_,3_,7_,0_,1_,5,7,8,7,Enrolled
17,4395,1_,17_,9773_,1_,1_,1_,34_,34_,99_,99_,0_,0_,0,6,8,6,Dropout
18,2800,1_,1_,9254_,1_,1_,1_,3_,19_,3_,8_,0_,0_,0,6,6,6,Graduate
19,895,2_,44_,9991_,0_,39_,1_,1_,37_,4_,9_,0_,0_,0,5,12,3,Dropout
20,4357,1_,39_,8014_,0_,1_,1_,19_,37_,7_,8_,0_,0_,0,6,14,2,Dropout
21,2971,1_,39_,9991_,0_,3_,1_,19_,1_,9_,5_,0_,0_,0,5,14,1,Dropout
22,3277,1_,1_,9147_,1_,1_,1_,38_,38_,9_,9_,0_,0_,0,5,10,5,Graduate
23,372,1_,17_,9773_,1_,1_,1_,1_,19_,4_,7_,0_,0_,0,6,6,6,Graduate
24,1237,1_,18_,9119_,1_,1_,1_,1_,37_,7_,7_,0_,1_,0,5,5,1,Dropout
25,3583,1_,17_,9147_,1_,1_,1_,37_,38_,9_,9_,0_,1_,0,5,8,4,Enrolled
26,3539,1_,1_,9070_,1_,1_,1_,1_,19_,3_,9_,0_,1_,0,6,7,6,Graduate
27,2281,1_,44_,9003_,1_,39_,1_,1_,38_,9_,6_,0_,1_,0,6,13,4,Enrolled
28,420,1_,1_,9500_,1_,1_,1_,2_,1_,2_,8_,0_,0_,0,7,7,7,Graduate
29,1754,1_,17_,9119_,1_,1_,1_,3_,1_,2_,9_,0_,1_,0,5,5,0,Dropout
30,364,1_,1_,9500_,1_,1_,1_,1_,1_,9_,1_,0_,0_,0,7,8,5,Enrolled
31,3825,1_,1_,171_,1_,1_,1_,1_,38_,7_,8_,0_,1_,0,0,0,0,Dropout
32,2680,4_,43_,9500_,1_,19_,1_,34_,34_,0_,0_,0_,1_,11,14,26,12,Graduate
33,2298,1_,1_,9238_,1_,1_,1_,1_,1_,4_,4_,0_,1_,0,6,12,4,Graduate
34,494,1_,1_,9853_,1_,1_,1_,3_,1_,2_,5_,1_,0_,0,7,10,6,Enrolled
35,3859,1_,43_,9991_,0_,1_,1_,37_,19_,3_,10_,0_,1_,0,5,14,1,Dropout
