"ID","holiday","workingday","weather","temp","atemp","humidity","windspeed","count"
1017,"No","No","Light Rain",11.48,12.12,100,27.9993,11
8921,"No","Yes","Clear",27.88,31.82,79,16.9979,27
878,"No","Yes","Clear",12.3,13.635,70,31.0009,7
7845,"No","Yes","Clear",19.68,23.485,82,6.0032,34
6526,"No","Yes","Clear",18.86,22.725,77,35.0008,7
7289,"No","Yes","Mist",18.86,22.725,88,7.0015,24
4633,"No","No","Clear",10.66,15.15,81,0,29
5400,"No","Yes","Clear",7.38,10.605,80,6.0032,11
526,"No","No","Mist",9.84,12.12,65,11.0014,18
1069,"No","Yes","Clear",10.66,13.635,52,8.9981,4
6764,"No","Yes","Clear",18.86,22.725,88,11.0014,8
9714,"No","Yes","Light Rain",14.76,16.665,87,16.9979,7
858,"No","No","Clear",16.4,20.455,15,22.0028,3
6429,"No","Yes","Clear",9.84,12.12,48,8.9981,4
1706,"No","No","Mist",18.04,21.97,77,19.0012,35
501,"No","Yes","Clear",8.2,11.365,47,7.0015,38
7507,"No","No","Clear",19.68,23.485,59,0,34
5163,"No","Yes","Clear",9.02,13.635,80,0,2
29,"No","No","Mist",18.86,22.725,94,12.998,3
8561,"No","Yes","Clear",31.16,36.365,66,7.0015,16
1101,"No","Yes","Light Rain",16.4,20.455,0,16.9979,11
3821,"No","No","Clear",23.78,27.275,94,6.0032,7
4730,"No","Yes","Clear",15.58,19.695,94,6.0032,11
719,"No","No","Mist",9.02,13.635,55,0,3
5136,"No","Yes","Clear",10.66,11.365,81,23.9994,7
785,"No","Yes","Mist",8.2,9.85,47,12.998,1
6789,"No","No","Mist",13.94,16.665,81,8.9981,25
7892,"No","No","Clear",25.42,31.06,57,0,8
7146,"Yes","No","Clear",24.6,30.305,64,16.9979,14
8633,"No","Yes","Clear",27.88,31.82,79,7.0015,42
8541,"No","Yes","Clear",27.88,31.82,74,6.0032,38
455,"No","Yes","Light Rain",9.02,12.12,93,7.0015,2
6500,"No","Yes","Clear",18.86,22.725,63,22.0028,21
9860,"No","Yes","Mist",22.96,26.515,68,15.0013,10
4084,"No","No","Mist",13.94,15.91,87,16.9979,7
9788,"No","Yes","Clear",14.76,18.18,76,7.0015,8
8802,"No","Yes","Clear",28.7,33.335,84,6.0032,14
5685,"No","Yes","Light Rain",13.94,16.665,93,12.998,3
5474,"No","Yes","Clear",6.56,7.575,55,16.9979,5
6885,"No","Yes","Clear",15.58,19.695,43,19.0012,1
3388,"No","Yes","Clear",28.7,31.82,45,8.9981,26
56,"No","Yes","Clear",7.38,8.335,43,16.9979,44
7193,"No","Yes","Clear",21.32,25,34,12.998,14
5123,"No","Yes","Light Rain",18.04,21.97,100,8.9981,33
717,"No","No","Mist",8.2,10.605,69,11.0014,2
9644,"No","No","Clear",22.14,25.76,83,16.9979,11
2815,"No","Yes","Mist",27.88,31.82,83,6.0032,6
1115,"No","Yes","Light Rain",13.94,17.425,100,7.0015,8
6525,"No","Yes","Light Rain",19.68,23.485,77,27.9993,11
436,"No","Yes","Light Rain",5.74,10.605,93,0,3
533,"No","No","Light Rain",8.2,11.365,100,6.0032,10
570,"No","No","Clear",10.66,15.15,60,0,27
1926,"No","No","Clear",17.22,21.21,77,6.0032,18
5161,"No","Yes","Clear",9.84,14.395,70,0,12
4063,"No","No","Light Rain",17.22,21.21,67,16.9979,36
7918,"No","No","Clear",25.42,29.545,73,0,30
10650,"No","Yes","Mist",15.58,19.695,94,7.0015,4
6186,"No","Yes","Clear",11.48,15.91,41,0,36
1659,"Yes","No","Clear",18.04,21.97,67,0,27
6068,"No","Yes","Mist",9.84,12.12,87,8.9981,12
2312,"No","No","Clear",20.5,24.24,64,0,8
8512,"No","Yes","Light Rain",29.52,34.85,79,7.0015,43
6595,"No","Yes","Clear",15.58,19.695,50,8.9981,10
2167,"No","Yes","Light Rain",22.14,25.76,94,16.9979,4
8301,"No","No","Clear",30.34,35.605,74,12.998,14
3760,"No","Yes","Light Rain",24.6,25.76,93,0,25
8945,"No","Yes","Clear",28.7,32.575,61,0,37
393,"Yes","No","Light Rain",6.56,7.575,80,12.998,33
6410,"No","No","Mist",12.3,13.635,52,19.9995,23
4254,"No","No","Clear",18.04,21.97,88,0,21
10529,"No","Yes","Clear",18.86,22.725,67,11.0014,9
9331,"No","Yes","Clear",20.5,24.24,77,6.0032,7
6236,"No","Yes","Mist",12.3,16.665,70,0,5
3200,"No","Yes","Mist",31.16,34.85,55,6.0032,24
5763,"No","No","Mist",5.74,6.06,50,19.0012,8
5117,"No","Yes","Light Rain",19.68,23.485,100,27.9993,18
116,"No","Yes","Clear",7.38,12.12,55,0,11
1326,"No","Yes","Light Rain",10.66,12.88,93,12.998,7
1018,"No","No","Light Rain",9.84,9.09,93,40.9973,7
10602,"No","No","Mist",14.76,18.18,93,7.0015,29
6790,"No","No","Mist",13.94,17.425,81,6.0032,12
5131,"No","Yes","Light Rain",13.94,14.395,87,43.0006,26
3126,"No","Yes","Clear",29.52,34.09,70,11.0014,3
5235,"No","Yes","Clear",7.38,12.12,74,0,3
5663,"No","Yes","Clear",8.2,10.605,85,11.0014,5
1401,"No","Yes","Clear",16.4,20.455,62,16.9979,7
7961,"No","Yes","Mist",27.88,31.82,65,11.0014,16
4278,"Yes","No","Clear",18.04,21.97,94,0,44
1861,"No","Yes","Mist",13.94,15.91,93,19.0012,31
7893,"No","No","Clear",24.6,31.06,56,7.0015,19
5809,"No","Yes","Light Rain",13.12,15.15,66,22.0028,13
10722,"No","Yes","Mist",10.66,12.12,56,19.0012,2
3558,"No","Yes","Clear",27.06,31.06,69,19.0012,6
8060,"No","No","Clear",22.14,25.76,68,8.9981,8
1378,"No","No","Clear",11.48,13.635,65,12.998,33
1301,"No","No","Mist",23.78,27.275,46,23.9994,51
1799,"No","No","Mist",18.86,22.725,82,0,121
1129,"No","Yes","Mist",13.94,15.15,49,19.9995,113
5922,"No","Yes","Clear",13.12,14.395,49,27.9993,109
1948,"No","No","Mist",21.32,25,55,0,64
1222,"No","Yes","Mist",15.58,19.695,46,22.0028,114
2858,"No","Yes","Clear",29.52,34.09,66,0,129
5838,"No","Yes","Clear",12.3,13.635,42,31.0009,93
5862,"No","Yes","Clear",5.74,10.605,59,0,108
6337,"No","Yes","Mist",17.22,21.21,94,0,109
5491,"No","Yes","Clear",4.1,5.305,36,15.0013,68
9831,"No","No","Clear",17.22,21.21,58,19.9995,125
3863,"No","No","Clear",25.42,30.305,69,26.0027,95
733,"No","No","Clear",16.4,20.455,35,23.9994,51
4907,"No","Yes","Mist",13.94,15.15,53,19.9995,121
3992,"No","No","Mist",18.86,22.725,77,16.9979,108
536,"No","No","Light Rain",9.02,11.365,100,8.9981,47
6881,"No","Yes","Clear",21.32,25,23,27.9993,45
4182,"No","Yes","Clear",16.4,20.455,66,12.998,114
5742,"No","No","Clear",5.74,8.335,50,7.0015,81
1148,"No","No","Clear",13.94,15.15,49,22.0028,119
1218,"No","Yes","Mist",14.76,17.425,50,15.0013,102
8465,"No","No","Mist",28.7,32.575,51,7.0015,118
418,"No","Yes","Mist",10.66,13.635,93,8.9981,47
4499,"No","Yes","Light Rain",21.32,25,94,22.0028,130
8613,"No","Yes","Mist",26.24,29.545,78,8.9981,49
3700,"Yes","No","Mist",27.88,31.82,79,7.0015,54
1833,"No","Yes","Mist",21.32,25,94,11.0014,109
2461,"No","Yes","Clear",31.98,35.605,52,0,111
4225,"No","No","Clear",18.86,22.725,82,0,65
4078,"No","No","Mist",14.76,17.425,93,15.0013,70
9086,"No","No","Mist",27.06,29.545,89,0,78
6217,"No","Yes","Clear",12.3,15.15,61,8.9981,95
6809,"No","No","Light Rain",18.86,22.725,72,0,63
7452,"No","Yes","Light Rain",20.5,24.24,82,15.0013,51
1265,"No","Yes","Clear",20.5,24.24,45,15.0013,105
10767,"No","No","Clear",12.3,16.665,70,0,94
5729,"No","Yes","Clear",9.84,12.12,41,11.0014,136
462,"No","Yes","Light Rain",9.02,10.605,93,15.0013,49
10149,"No","Yes","Clear",12.3,14.395,39,15.0013,124
10413,"No","Yes","Mist",14.76,16.665,66,16.9979,131
731,"No","No","Clear",16.4,20.455,35,19.0012,61
3805,"No","Yes","Clear",26.24,28.03,94,0,75
6193,"No","Yes","Mist",10.66,15.15,56,0,90
5591,"No","No","Clear",13.94,16.665,42,12.998,72
4749,"No","Yes","Clear",14.76,16.665,53,19.0012,89
2482,"No","No","Clear",29.52,33.335,58,12.998,68
2722,"No","No","Clear",26.24,30.305,65,0,45
2884,"No","No","Mist",26.24,28.79,89,7.0015,53
127,"No","Yes","Clear",10.66,14.395,35,0,84
7715,"No","Yes","Light Rain",25.42,28.03,88,23.9994,45
676,"No","Yes","Clear",9.02,11.365,47,8.9981,64
148,"No","Yes","Clear",9.02,9.85,37,22.0028,63
6308,"No","No","Mist",13.12,15.15,39,16.9979,72
10359,"No","No","Clear",12.3,15.15,52,11.0014,106
2137,"No","No","Clear",22.96,26.515,83,0,117
5592,"No","No","Clear",14.76,16.665,37,19.0012,67
5191,"No","No","Clear",10.66,13.635,65,8.9981,73
3565,"No","Yes","Clear",30.34,34.85,66,16.9979,129
6976,"No","No","Clear",20.5,24.24,39,16.9979,51
1813,"No","Yes","Mist",22.14,25.76,77,15.0013,108
10141,"No","Yes","Mist",13.12,15.15,49,19.9995,126
8706,"No","No","Clear",30.34,34.85,70,19.9995,73
6017,"No","Yes","Clear",12.3,15.15,65,8.9981,87
6438,"No","Yes","Mist",10.66,13.635,56,8.9981,103
3505,"No","Yes","Clear",27.06,31.06,69,16.9979,98
9958,"No","Yes","Light Rain",22.14,25.76,94,11.0014,131
5914,"No","Yes","Clear",16.4,20.455,76,7.0015,141
7935,"No","No","Clear",29.52,33.335,58,7.0015,110
7046,"No","Yes","Clear",13.94,15.15,57,22.0028,134
7343,"No","No","Clear",22.96,26.515,88,0,87
99,"No","Yes","Clear",7.38,9.09,43,12.998,88
7983,"No","Yes","Light Rain",27.06,29.545,94,15.0013,89
1190,"No","Yes","Mist",11.48,15.91,61,0,88
1459,"No","Yes","Clear",21.32,25,32,22.0028,117
1776,"No","Yes","Mist",20.5,24.24,72,8.9981,122
3157,"No","Yes","Clear",35.26,37.88,36,11.0014,97
383,"Yes","No","Mist",6.56,7.575,50,16.9979,57
8920,"No","Yes","Clear",28.7,33.335,74,15.0013,60
6449,"No","Yes","Clear",9.84,10.605,35,22.0028,78
58,"No","Yes","Clear",9.02,10.605,35,19.9995,61
5480,"No","Yes","Clear",6.56,6.06,47,31.0009,60
10455,"No","No","Mist",12.3,15.91,87,6.0032,117
81,"No","Yes","Clear",9.02,11.365,51,11.0014,78
7174,"No","Yes","Clear",24.6,31.06,46,16.9979,144
1779,"No","No","Clear",17.22,21.21,67,6.0032,96
4606,"No","Yes","Clear",13.12,15.15,49,22.0028,89
10766,"No","Yes","Clear",11.48,15.15,75,6.0032,134
1057,"No","Yes","Mist",15.58,19.695,25,7.0015,98
6440,"No","Yes","Mist",10.66,12.88,55,19.9995,120
1525,"No","No","Mist",13.94,17.425,87,7.0015,98
3651,"No","No","Mist",26.24,30.305,73,7.0015,87
363,"No","No","Clear",11.48,13.635,36,16.9979,91
702,"No","No","Clear",12.3,13.635,39,27.9993,135
9725,"No","Yes","Mist",20.5,24.24,67,8.9981,238
8462,"No","Yes","Clear",30.34,33.335,45,0,263
8522,"No","Yes","Clear",32.8,38.635,59,0,186
4650,"No","No","Clear",15.58,19.695,76,12.998,151
9638,"No","Yes","Clear",24.6,29.545,73,19.0012,264
2159,"No","Yes","Clear",23.78,27.275,83,0,198
2580,"No","Yes","Clear",24.6,31.06,49,0,207
10618,"No","No","Clear",16.4,20.455,87,0,246
9175,"No","Yes","Clear",31.98,38.635,70,12.998,245
7976,"No","Yes","Mist",27.06,29.545,89,19.0012,239
9326,"No","Yes","Clear",22.96,26.515,64,7.0015,216
6273,"No","Yes","Clear",16.4,20.455,37,23.9994,170
2330,"No","No","Mist",26.24,31.06,57,0,150
6655,"No","Yes","Clear",27.06,31.06,27,15.0013,254
4934,"No","Yes","Clear",13.94,16.665,29,8.9981,178
2281,"No","Yes","Clear",26.24,31.06,33,16.9979,155
1966,"No","No","Clear",22.96,26.515,64,0,239
10691,"No","Yes","Clear",13.12,15.15,53,15.0013,257
8547,"No","Yes","Mist",35.26,40.15,47,0,206
5939,"No","Yes","Clear",15.58,19.695,40,0,216
6902,"No","Yes","Clear",17.22,21.21,47,12.998,234
10033,"No","No","Mist",13.94,15.15,49,19.9995,219
2178,"No","Yes","Clear",25.42,30.305,69,30.0026,210
5936,"No","Yes","Clear",13.94,16.665,46,8.9981,216
5897,"No","Yes","Clear",21.32,25,52,11.0014,233
6373,"No","Yes","Light Rain",14.76,17.425,87,12.998,160
3598,"No","Yes","Light Rain",25.42,29.545,73,31.0009,165
4401,"No","No","Clear",21.32,25,48,19.9995,207
1360,"No","No","Light Rain",13.12,16.665,81,8.9981,184
3144,"No","Yes","Clear",30.34,35.605,74,8.9981,241
5987,"No","No","Mist",12.3,14.395,56,16.9979,272
8174,"No","No","Clear",33.62,37.12,43,8.9981,151
