ID,지역,등급,농업면적,연도,라벨
2089,부산,B,27406,2010,0
1964,대전,C,50520,2006,0
1820,울산,B,15030,2021,0
1408,부산,A,65007,2019,0
205,충남,A,72526,2018,0
762,경남,B,81571,2016,0
2248,대전,A,71335,2016,0
1674,부산,A,28203,2006,0
2196,울산,B,67617,2008,0
1503,인천,A,4828,2013,0
1809,대구,C,81932,2004,0
1347,충남,A,23577,2000,0
918,경기,B,21120,2017,0
1743,인천,B,83794,2021,0
2140,전북,B,10311,2008,0
2267,서울,A,90141,2021,0
1951,광주,B,79789,2004,0
428,경북,B,68815,2021,0
735,부산,A,88032,2011,0
2183,광주,C,5210,2003,0
2097,대전,B,97694,2009,0
1423,전남,C,5455,2006,1
1739,부산,B,63929,2014,0
204,경남,B,10809,2013,1
1588,대구,C,56636,2024,0
420,전남,B,97494,2008,0
2166,전북,A,64551,2002,0
1571,대구,B,41939,2016,1
1434,대전,C,66126,2008,0
2300,서울,B,41799,2023,0
378,대구,C,10104,2022,0
1625,전북,A,75875,2023,0
636,대전,B,22336,2022,0
2387,경북,C,44307,2004,0
341,강원,A,93864,2023,0
996,광주,C,44255,2013,0
246,대전,B,59779,2005,0
756,전북,A,90881,2000,0
194,울산,A,72828,2006,0
675,충남,A,89792,2022,0
2113,전북,B,11351,2001,0
517,울산,B,21114,2024,0
607,충북,C,51760,2022,0
2085,서울,A,97821,2016,0
727,경북,B,53443,2016,0
947,인천,C,69342,2015,0
2076,광주,B,30134,2014,1
1401,인천,A,62902,2018,0
1338,서울,A,93665,2023,0
497,울산,A,44590,2014,0
486,경기,C,76241,2021,0
767,강원,C,85680,2003,0
1685,경북,B,52004,2019,0
417,경북,C,7353,2008,0
265,서울,B,81883,2012,0
592,대전,B,95431,2005,2
608,부산,B,41154,2012,0
330,대구,A,90010,2015,0
959,경남,B,48226,2006,0
1012,인천,A,47296,2020,0
2244,서울,B,44117,2006,0
655,전북,C,89212,2009,1
1717,광주,A,35734,2001,0
695,경북,C,84812,2004,0
1119,광주,C,76538,2006,0
1052,충남,A,80073,2011,0
746,부산,B,75543,2016,0
7,광주,B,10776,2022,0
2039,전북,A,71233,2014,0
1072,인천,C,71046,2012,0
1772,강원,A,98065,2019,0
1174,경남,B,64094,2018,0
2087,충남,B,7009,2006,0
914,충북,A,23560,2020,0
331,강원,C,68499,2004,0
1706,대구,A,3093,2014,0
1182,충북,C,31924,2003,0
609,광주,C,77536,2006,0
2234,대전,C,29794,2000,2
839,울산,A,11095,2013,0
122,전북,C,66900,2000,1
936,경북,B,64419,2020,0
1905,충남,C,9616,2019,0
1,대구,C,14271,2001,1
365,부산,C,91786,2019,2
1863,부산,B,26271,2013,0
1399,경북,A,29632,2016,0
1022,전북,C,46526,2017,0
526,강원,B,97407,2001,0
1630,부산,B,86701,2012,0
1149,인천,B,66671,2009,0
238,충남,C,95557,2024,0
286,서울,C,40388,2005,0
1901,경기,A,17047,2001,0
1959,경남,C,62048,2008,0
2282,부산,B,37039,2020,0
1431,서울,B,59994,2011,0
1324,서울,C,67767,2008,0
723,서울,B,31456,2017,1
1914,울산,B,58256,2020,0
2376,경기,A,29710,2007,0
1707,충남,B,53312,2009,0
604,울산,A,42216,2012,0
1030,강원,B,10346,2009,0
2138,대전,C,8922,2022,0
1655,울산,B,22832,2019,0
157,전북,C,85843,2002,0
1282,충북,B,4568,2017,0
1445,경남,C,9461,2017,0
1641,부산,B,60411,2007,0
